experiment_id,event_id,time,tau,displacement,mu,V
p5838,p5838_event_017,12596.673,13.2585405983123,5.73740846498838,0.697096812214935,29.9131396861791
p5838,p5838_event_017,12596.674,13.2577865242538,5.73747279625867,0.696642393067952,30.0820768455331
p5838,p5838_event_017,12596.675,13.2550379466205,5.73759801248119,0.696839259086956,31.7376610073976
p5838,p5838_event_017,12596.676,13.2690887111779,5.73768187288711,0.697371723339413,32.0417478942558
p5838,p5838_event_017,12596.677,13.2748089652784,5.73778181611059,0.697905065435302,30.904237688369
p5838,p5838_event_017,12596.678,13.2437179117897,5.7378381059721,0.696132878742084,29.7892524365011
p5838,p5838_event_017,12596.679,13.2482780519541,5.73788405687945,0.697076640113524,29.6315777544044
p5838,p5838_event_017,12596.68,13.2595311571347,5.73787601547066,0.697109438297212,30.8929752110914
p5838,p5838_event_017,12596.681,13.2617889173335,5.73789899092433,0.697758650202292,30.172176663875
p5838,p5838_event_017,12596.682,13.2581881021548,5.73791852005996,0.697398189247744,29.5640028901413
p5838,p5838_event_017,12596.683,13.2695661426824,5.73792885901411,0.698117520564386,29.3049659124454
p5838,p5838_event_017,12596.684,13.2508570744737,5.7379012884697,0.697642876695324,29.1022413211892
p5838,p5838_event_017,12596.685,13.264604424617,5.73788980074286,0.698063175184954,29.4851655490943
p5838,p5838_event_017,12596.686,13.2628954875495,5.73788290810676,0.697110260312926,29.8680897775495
p5838,p5838_event_017,12596.687,13.2803819741486,5.73784384983552,0.69839193561589,30.1383892325277
p5838,p5838_event_017,12596.688,13.273943341803,5.73786223019846,0.697226276027903,29.9694520731707
p5838,p5838_event_017,12596.689,13.2626188449955,5.73789669337897,0.696753461574424,30.1834391417082
p5838,p5838_event_017,12596.69,13.2585138264522,5.73796102464926,0.696847702251518,30.7916129149036
p5838,p5838_event_017,12596.691,13.2501699300653,5.73805407523664,0.696152017174243,32.1318477125977
p5838,p5838_event_017,12596.692,13.2634487726575,5.73822179604847,0.696690913592529,32.312047349264
p5838,p5838_event_017,12596.693,13.2877040778763,5.73834126840757,0.69816869796283,31.7151360528078
p5838,p5838_event_017,12596.694,13.2592589765574,5.73843087267691,0.696464642037425,30.7578254830363
p5838,p5838_event_017,12596.695,13.2459935198952,5.7384170874047,0.695688318237531,30.1046018006598
p5838,p5838_event_017,12596.696,13.2586387617992,5.73840215335981,0.696953227114602,30.7353005289946
p5838,p5838_event_017,12596.697,13.2631185863834,5.73843891408569,0.69714829171621,30.8028753927479
